reach_id,guidebook_id,page,run,url
5775,3,321,202,
5775,4,328,192,
5775,11,,,https://www.dreamflows.com/xlist-or.php#Site249
5776,4,160,86,
5778,4,57,19,
5778,7,322,74,
5779,2,75,39,
5779,3,95,42,
5779,4,98,45,
5779,7,368,83,
5780,3,108,53,
5780,4,111,56,
5781,7,322,74,
5781,9,50,,
5782,3,162,92,
5782,4,98,45,
5782,10,,,https://www.oregonkayaking.net/rivers/uucala/uucala.html
5783,2,131,87,
5783,3,167,94,
5783,4,175,98,
5783,7,34,6,
5783,9,79,,
5784,2,131,88,
5784,3,167,95,
5784,7,34,6,
5784,9,80,,
5785,2,132,89,
5785,7,34,6,
5785,9,80,,
5792,2,171,124,
5792,3,217,132,
5792,4,224,131,
5792,7,66,14,
5792,10,,,https://www.oregonkayaking.net/rivers/mid_collowash/mid_collowash.html
5792,11,,245,
5794,3,215,131,
5794,4,222,131,
5794,7,66,14,
5794,10,,,https://www.oregonkayaking.net/rivers/collowash/collowash.html
5794,11,,245,
5795,2,238,180,
5795,3,306,196,
5795,4,309,184,
5795,7,93,20,
5795,9,97,,
5796,2,227,169,
5796,3,291,185,
5796,4,294,174,
5796,7,84,18,
5797,2,229,170,
5797,3,294,186,
5797,4,297,175,
5797,7,84,18,
5798,2,232,173 and 174,
5798,3,295,188,
5798,7,84,18,
5798,10,,,https://www.oregonkayaking.net/rivers/benham/benham.html
5799,7,84,18,
5800,2,233,175,
5800,3,296,189,
5800,4,299,177,
5800,7,84,18,
5801,2,234,176,
5801,3,297,190,
5801,4,300,178,
5801,7,84,18,
5802,2,235,177,
5802,3,298,191,
5802,4,301,179,
5802,7,84,18,
5804,2,236,178,
5804,3,300,192,
5804,4,302,180,
5804,7,90,19,
5805,3,301,193,
5805,4,304,181,
5805,7,90,19,
5806,3,303,194,
5806,4,306,182,
5806,7,90,19,
5807,2,230,171,
5807,3,294,187,
5807,4,298,176,
5807,7,84,18,
5808,2,264,195,
5808,3,344,216,
5808,4,353,207,
5808,7,124,28,
5808,11,,250,
5809,4,59,21,
5809,7,185,43,
5810,7,258,60,
5812,2,157,112,
5812,4,202,116,
5812,7,300,68,
5812,9,73,,
5813,2,160,115,
5813,4,205,119,
5813,7,300,68,
5814,7,322,74,
5815,4,64,23,
5816,2,75,38,
5816,3,94,41,
5816,4,97,44,
5816,7,368,83,
5817,2,58,25,
5817,4,69,26,
5817,7,71,15,
5817,10,,,https://www.oregonkayaking.net/rivers/coalcreek/coalcreek.html
5817,11,,,https://www.dreamflows.com/xlist-or.php#Site209
5819,3,89,37,
5819,4,91,40,
5820,4,93,41,
